order_id,order_number,order_date,fk_order_date,fk_customer,fk_product,order_item_id,unit_price,discount_value,price_paid
10968640,558863286,2019-01-03,20190103,1064,9138,10994590,129.99,129.99,0.00
11055158,457975886,2019-01-10,20190110,1064,9138,11081140,129.99,39.99,90.00
11313572,575443486,2019-01-31,20190131,1064,9138,11339594,129.99,9.99,120.00
11383720,555179086,2019-02-07,20190207,1064,9138,11409756,129.99,32.50,97.49
11443372,543487086,2019-02-14,20190214,1064,9138,11469414,129.99,0.00,129.99
11612786,574272686,2019-02-28,20190228,1064,9138,11638858,129.99,0.00,129.99
11752930,530756966,2019-03-14,20190314,1064,9138,11779028,129.99,0.00,129.99
11848434,493672566,2019-03-21,20190321,1064,9138,11874542,129.99,32.50,97.49
11891396,438650566,2019-03-28,20190328,1064,13590,11917516,129.99,32.50,97.49
11989958,563717366,2019-04-04,20190404,1064,13590,12016088,129.99,0.00,129.99
12139302,590683966,2019-04-18,20190418,1064,13590,12165488,129.99,0.00,129.99
12215368,532479766,2019-04-25,20190425,1064,13590,12241562,129.99,32.50,97.49
12263926,467943766,2019-05-02,20190502,1064,13590,12290156,129.99,32.50,97.49
12326506,553999566,2019-05-09,20190509,1064,13590,12352766,129.99,32.50,97.49
12505876,557887166,2019-05-23,20190523,1064,13590,12532164,129.99,32.50,97.49
12582766,524476366,2019-05-30,20190530,1064,13954,12609064,129.99,32.50,97.49
12646416,588308766,2019-06-06,20190606,1064,13954,12672728,129.99,32.50,97.49
12719022,493530766,2019-06-13,20190613,1064,13954,12745342,129.99,32.50,97.49
12984624,511166626,2019-07-18,20190718,1064,14314,13011008,129.99,32.50,97.49
13076208,509571426,2019-07-25,20190725,1064,14314,13102594,129.99,32.50,97.49
13181422,477176026,2019-08-08,20190808,1064,14314,13207818,129.99,32.50,97.49
13244994,507385826,2019-08-15,20190815,1064,14314,13271394,129.99,32.50,97.49
13363848,514385626,2019-08-29,20190829,1064,14314,13390248,129.99,32.50,97.49
